Topic,Count,Name,CustomName,Representation,Representative_Docs
25,16,25_her_she_and_was,25_her_she_and_was,"['her', 'she', 'and', 'was', 'of', 'had', 'to', 'the', 'died', 'life']","['Why does a Sims death not clear moodlets?!:\nHello all, I’m still reeling from this series of events and I feel I must share because it’s just so ridiculous. Hope you enjoy the chaos. Lol.\n\nI created my fairy founder sim for a matriarch line, she had two twins boys who grew up and moved out, then had two twins girls, Olena and Nisla.\n\nOlena will be following in her mother’s footsteps and will take over the family mantle when she passes. Nisla was *supposed* to just be loving support. Find herself a husband, contribute to the family, but no…\n\nAs a teen she started having a mood swings, which makes her enraged. My mother sim carefully guides her through the mood swing, I get the pop up saying it’s successful and she’s still pissed for the next 6 hours per the moodlet. But she’s met all the requirements for me to age her and her sister up together (twins after all) so I do.\n\nShe hits young adulthood and immediately dies from a cardiac explosion after finishing her celebration.\n\nGrim arrives… I plead with him and give him a death flower I’d managed to find while foraging. He accepts and brings her back to life! I saved her!\n\nAnd she immediately died to cardiac explosion *again*. All her original moodlets survived her death and put her immediately at deaths door the second she was revived.\n\nWhy does the game allow this?!?!?!!? Ugh. I was so upset after that second death I didn’t even bother keeping her as a ghost or trying to bring her back again. I just said goodbye and sent her into the nether. Clearly, that’s what the game wants lmao. \n\nJust… sigh. ', 'One of my legacy kids just died… because of a METEORITE??:\nI did NOT know that was a possibility… she was still a teen! I was waiting for her to age up to young adult so she could be with the man of her dreams / her high school sweetheart :( her aspiration was that university / academic thing and she didn’t even live to start that… it happened so fast, I couldn’t even get her anywhere away from that stupid thing in time. Very first time I used the telescope and I will NEVER do it again. I had her as a playable ghost for a little while but then I thought this is life (in a weird universe where a meteorite kills her and ONLY her the very first time she dares to have a look at the sky) and the family should mourn her properly. Which they did. She had a twin sister and everything :(\nAnd then her dad goes to visit his older brother for the first time in what feels like forever to reconnect after his daughter’s death, and I kid you not only MINUTES after he leaves his brother dies of old age.\nThis is the first time anything has gone other than smoothly in this legacy challenge. \nSorry for the rant, I am blown away here, this is crazy ', 'A PSA on saving regularly... :\nI\'m here with a cautionary tale! \nI\'m pretty bad at doing regular saves while I play. Instead of saving little and often, I\'ll play 2 hours and then have a ""whoops, better save"" moment. This kicked me so hard yesterday that I felt the need to share it. \n\nI played a couple of hours of my most recent Not So Berry play through yesterday with my yellow gen. During that time, she did 2 terms of university (I like to get a kick start on careers like Astronaut that are a lot of work), she aged up from a teen to a young adult, she learned a ton of skills and she went on several dates to try and find her significant other. At no point did I save. \n\nEventually, I sent her on a blind date just for the fun. She left home feeling confident, but as soon as she stepped into the venue she got hysterical. Fatally hysterical. Within 5 seconds of arrival, she was dying of laughter. \n\nI panicked, of course. I knew I had at least 2 hours of gameplay under my belt with no saves. I really didn\'t want to lose that. Normally if a Not So Berry Heir dies, I\'d be able to switch to a sibling - but yellow gen doesn\'t have siblings as Rose gen can only have one child. I didn\'t want to lose all her progress. \n\nIn a bid to keep all of my progress, I cheated the date into my family and had them plead with Grim. \nGrim was unimpressed. The urn appeared, and I had to have the random Sim pick it up and take it home. She puts down the gravestone by the front door and I call forth the ghost. I cheat the ghost into my family and send the rando on their merry way. I bought a wishing well, threw an obnoxiously large donation into it, requested life and it gives me an Angel fish. I delete the well in a fit of rage. I don\'t have the skill or the ingredients to make ambrosia! \nThen I remember the gallery, and download myself a tiny room with a lovely dining setup and two portions of ambrosia. One of them goes straight into my family inventory to avoid this situation happening again. My Sim eats the ambrosia, comes back to life, and I rejoice. \n\n*I save.*\n\nMy Sim has nothing in the career panel. It\'s been less than the time between classes, but her university heard she was dead and kicked her corpse straight out. OK, I think, she can re-enroll and complete her final term. \n*Is it just me that didn\'t know the university won\'t remember your progress?*\nI was suddenly faced with the fact that she would have to redo both terms she finished as well as the third she hadn\'t done yet. I categorically refused to do this. At this point I could have cut my losses except I\'d saved the second she came back to life. I decided she could just work her way up the career from the bottom. University is way too much work to do twice. \nIt seems like a serious oversight to me that Sims can\'t take their existing credits and finish their degree. \n\nAnyway, don\'t be me. I\'m an idiot. \n\n*Save little and OFTEN. Playing now? Haven\'t saved in a while? DO IT NOW. DON\'T BE ME 😭*']"
26,15,26_child_aspiration_trait_sim,26_child_aspiration_trait_sim,"['child', 'aspiration', 'trait', 'sim', 'up', 'aged', 'he', 'looks', 'quirks', 'dastardly']","[""I've never seen this trait before and I don't believe I have any mod aspirations that look like this. This Sim is a YA btw not a child. Has anyone seen this aspiration before?:\n"", ""Dastardly trait in child sim?:\nMy child sim has had the dastardly trait since he was born. His aspiration is to be a creative genius, and that isn't a mischievous aspiration. I've already repaired the game and turned off mods"", ""Uhm.. What the hell happened?:\nSo, I don't know if these tags are right. Just tried to age up (child to teen) my sim, he froze, wouldn't respond to commands. Tried to get him to blow out candle, everyone is celebrating over and over again, but he's still frozen... next thing I know, he looks like this- and his picture in the corner is all messed up. I saved and quit, so he wasn't in the process of aging up, and I didn't even get the pop up to add a trait or Aspiration, and now he looks like this-? He also has a random Aspiration (Playtime Captain) and only one trait that I've added (Self-Assured), no additional traits\n\nBtw, I have no mods or cc as I use Xbox""]"
27,15,27_bella_goth_mortimer_don,27_bella_goth_mortimer_don,"['bella', 'goth', 'mortimer', 'don', 'baby', 'cassandra', 'alexander', 'gets', 'and', 'ages']","['So Mortimer Goth just died and as Bella was mourning him she gets this text from his ghost. 😭:\n', 'Oh Bella, my Bella 😞:\nThe Bella in my save is so sad. Mortimer left her (with 6 kids) and married his side chick and they had a baby. They both died, from electrocution and fall from height (not mysterious at all…). The baby is all grown up and when he was in college, I made him go to the Goth house and get to know his siblings. Why did Bella fall in love in love with him??? 😩. Now she’s stalking him. He is over his gf’s house and just look how Ms Ma’am is watching them. I need Bella to stand up! ', 'Monstrosity:\nI think I just played the most unhinged game of sims over the last two days. \n\nHere’s the story:\n\nBella Goth was bored of her gloomy and macabre life with Mortimer. She decided to begin a steamy affair with Don Lothario. She got pregnant and her and Mortimer divorced. Don moves in with Bella and she has her baby with Don. Mortimer then died of a broken heart. Bella sleeps with the grim reaper and gets pregnant. Cassandra begins sleeping with J Huntington III and gets pregnant. Both Bella and Cassandra have their babies. Don begins trying to contact aliens, gets kidnapped, becomes pregnant, and has an alien baby. Cassandra marries J and moves out. Bella’s daughter with the Grim Reaper, Ryenna, ages up and has a baby with Don. Alexander ages up and marries Ryenna and they have a baby. ']"
28,15,28_cooking_cook_chopping_club,28_cooking_cook_chopping_club,"['cooking', 'cook', 'chopping', 'club', 'luck', 'lol', 'please', 'excuse', 'for', 'food']","[""Cooking and bad luck day's...:\nIf my Sim has a bad luck day, i won't even think about making something to eat after that disaster... Yes, she did this 3 times before ordering food... Her neighbor did it only once.. I guess he learns his lesson quicker than her xD"", ""visitors can't cook?:\nwhen sims visit me they all get the chopping board out of the fridge (lol) & just place it in my house. none of them have ever rlly cooked something. when i had a party my place was covered in chopping boards afterwards lol. is it the same for you too? "", '""Hi, please join our Cooking Club! EXCUSE ME WHY ARE YOU COOKING?!"":\n""We haven\'t had a club meeting im so long! Please come to my house and we\'ll have a cooking competition. EXCUSE ME! THAT\'S RUDE OF YOU TO COOK IN MY HOUSE. PLEASE LEAVE IMMEDIATELY""']"
29,13,29_scroll_sims_content_from,29_scroll_sims_content_from,"['scroll', 'sims', 'content', 'from', 'mod', 'downloaded', 'the', 'it', 'that', 'can']","['Can I make it so I can scroll on my laptop?:\nOkay, so I have played sims on my pc before and I now am playing on my laptop. When you have a mouse you can use the scroll wheel to like go through for example the hairs in cas. i can’t scroll now without using the slider thing on the side. Is there some way to fix it so I can just scroll normaly or another way to do it?', ""The Sims 4 only with realistic sims (no fantasy characters):\nCan't find anything about it so I must be the weirdo that wants this but is my only option to play TS4 with realistic sims to uncheck packs that bring in fantasy characters? I don't want to see elves, aliens and vampires in my game. Not even the Grim Reaper. But I like some of the items that the dlc's bring.\n\n  \nIs there a mod that can delete them from my save? Or another option?"", 'Something I really want for the Sims 4:\nI really want to be able to disable cas items for randomization on townies. There’s so many items that I would never pick for my sims and townies and I don’t get why we just can’t disabled these.\nWe all know how annoying it is when you see a randomly generated townie full of makeup, jewelry, a fedora and sunglasses (and don’t even mention that damn eyeball ring). \nPlease just let us be able to actually control our supposed sandbox game.\nI know you can fix this with mccc, it’s just such a huge mod that I never find the time or energy to get to it, and people on console can’t use it.']"
30,13,30_moodlet_moodlets_date_angry,30_moodlet_moodlets_date_angry,"['moodlet', 'moodlets', 'date', 'angry', 'awake', 'rotten', 'the', 'egg', 'relating', 'focused']","[""I can't get my Sim to be angry:\nI tried to paint mood painting for the ambient effect, got him to fight and declare enemy with another Sim, and he researched anger for the movie gig he is about to go to.   But no matter how many anger moodlets I get built up, they never outweigh the positive moodlets he had from other stuff, like good surroundings and stuff. I even tried dirtying up the place to try to make him miserable. I have seen sad moodlets overpower, because these sims he knows just keep dying every few seconds but when I am trying to get him into an angry mood, I just can't. "", ""Sims 3 fully awake moodlet - What's the story?:\nThe Sims 3 fully awake moodlet is described only on a specific Sims 3 wiki, and even there it says it is unknown how to obtain. Well if it's such a mystery, perhaps it is some kind of cut content. Nevertheless I looked on the cutting room floor, on other sites, no mention. What is the deal with this moodlet? What is the point of it? Will I ever find a high quality png of the sprite? "", 'Sims getting random moodlets?:\nHas this been addressed by the sims team yet? My sims keep getting moodlets that have nothing to do with anything that’s happened to them, especially moodlets relating to milestones. Like they’ll get a sad moodlet relating to ‘facing rejection’ or an embarrassed moodlet related to bladder failure but neither of those things happened to them.']"
31,12,31_vlad_wonka_willy_walks,31_vlad_wonka_willy_walks,"['vlad', 'wonka', 'willy', 'walks', 'ghost', 'daddy', 'experience', 'mewho', 'collette', 'cope']","[""THE GHOST OF VLAD:\nJust playing through the StrangerVille Mystery when the GHOST OF VLAD spawned in 8 Bells... I've never seen him as a ghost before what on earth happened 🤣👀"", 'Vlad… wtf?:\nOkay, so tell me why the fuck Vlad walks into my sim’s house all creepy-like, mesmerizes my sim, then just… creepily walks away and into the music room to play my sim’s violin? Leaving my sim standing there, mesmerized?? I just put girl back to bed, cause we ain’t got time for this, there’s school tomorrow 😭', ""Excuse me...WHO?! :\nI rarely check neighborhood stories, but this got me. Tomax Collette and Vlad?? Isn't he like a young adult, and Vlad an elder!! This is taking Vladdy Daddy too far 🤣 I guess Vlad is his sugar daddy now 🤷🏽\u200d♀️""]"
32,12,32_camera_how_photo_photos,32_camera_how_photo_photos,"['camera', 'how', 'photo', 'photos', 'take', 'angle', 'renders', 'movement', 'lighting', 'better']","[""How to SLOW free camera??:\nHi! So I need to slow down the free camera movement, but I can only seem to speed it up. I slowed down the movement in the .ini file, but it doesn't affect free camera mode :( \n\nHow do I slow down the movement speed of the free camera???\n\n  \n(Not sure which flare to use, sorry!)"", 'Here are my Sims 4 renders, I’m still looking for improvement and do you guys have any tips of how to make them look better?:\nHere are my sims renders I’ve done by continuously watching tutorials but I still am not really getting the hang of it. If you guys have done Sims renders yourselves, can you give me suggestions of how to improve? Like make the lighting better and not having to rely  on editing apps to make the lighting better? (Because as you can see, the lighting looks like they’re in a dark room)\n\nAnd one more thing, how to position the camera in a better angle? Because the camera in blender is horrible to work imo or because I’m still new at this???', '[TS4] What are the best settings for the Camera.ini and VideoCamera.ini files to stop the camera from acting like it’s hyped up on caffeine and bouncing all over the place when zooming in or moving the view?:\nIf you’re wondering why I’m asking such a weird question, the answer is motion sickness.  \nNever thought I’d get motion sick playing *The Sims 4*, but… here we are.\n\nIs there a way to reduce that jumpy effect by tweaking some parameters in those files?  \nIf so, which lines, and how? \n\nI tried those settings, but the camera’s still bouncing around like crazy.\n\n[Better Camera Overhaul-V6](https://www.patreon.com/posts/better-camera-v6-99492478)\n\n[Overhaul 07 - Edited Camera](https://www.patreon.com/posts/overhaul-07-and-54355230)\xa0']"
33,12,33_cake_party_cakes_klepto,33_cake_party_cakes_klepto,"['cake', 'party', 'cakes', 'klepto', 'stolen', 'invited', 'figured', 'she', 'my', 'house']","['So they take off my post but the stolen cakes girl just gone:\nTHAT B1TC• STOLEN MY CAKE  I HATE HERRRR', 'If this b*tch makes ONE more cake in my house I will ""delete her ladder"" if you know what I mean:\nShe has made *at least* 100 cakes or, at least, she started 100 cakes some are left as prep boards, others are left as mixing bowls, none are moveable are all are driving me nuts. She\'s an overnight visitor/family member. ', 'Found out my sim’s closest friend was a klepto:\nSo I always had this townie come over to my house and chat up with my sim, and they got along very well until I threw a house party in her new mansion. After the party, I noticed that some of my sim’s fav paintings were gone, and even the TV in her room. I figured that I invited a sim over with the klepto trait during the party, and figured I wouldn’t throw another party until I figured out the culprit. \n\nThat is, until my sims “bestie” comes over, her husband invited her in, and as soon as he goes to the bathroom, SHE SWIPES SOME HOLIDAY CARDS OFF THE TABLE?? \n\nI was so mad that I made my sim’s husband beat the crap out of her and she’s not allowed into our home ever again 😭 I lost so many paintings I liked and for what?? Oh my god I’m just shocked lmaoo\n\nUpdate: the klepto sim didn’t have a house so I moved her into one and saw that she had stolen 11 THINGS from me?! Including a painting I thought I had accidentally deleted that was a masterpiece. It’s winter so I then built a small pool so she could freeze to death in it ❤️']"
34,11,34_employees_stove_ingredients_cant,34_employees_stove_ingredients_cant,"['employees', 'stove', 'ingredients', 'cant', 'cook', 'club', 'ovenstove', 'strabismus', 'tried', 'pizza']","[""Cannot move object, pot on floor of restaurant:\nThe offending saucepan. In Live mode it is actively steaming (burning? who can say) but I can't interact with this to move it and now I can't modify the floor plan because it's an Object That Cannot Be Intersected. Is this a Dine Out thing? No mods or CC. \n\nSorry if this is a basic thing and has been asked a hundred times before! Thanks for any help. "", 'Why are all meals greyed out? My sim can’t cook anything but salad:\n I don’t have simple living or any lot challenges on, but even when I get ingredients (I got ingredients to try and make a birthday cake but it was saying I had all the ingredients but it was still greyed out?) it’s only in certain households, same save file I tried a different household and I could cook but on my main 3 households I can’t. I tried moving them to a different household, changing them into base game stuff, resetting the fridge, resetting the sims. It makes no sense to me 😭 has anyone else had this? ', 'Strip club employees need to be rehired every time:\nSo as the title says, i always need to select my employees every time i open the strip club. I close it and then the next day when i go and open the club, i have no employees again! This is such a hassle cause I want to customize the NPCs I use as employees. \n\nIs there a fix to this? ']"
35,11,35_delete_you_learned_sell,35_delete_you_learned_sell,"['delete', 'you', 'learned', 'sell', 'keyboard', 'objects', 'sooner', 'dragged', 'em', 'item']","[""What's something you learned in the game that you wish you knew sooner?:\nFor me, I just learned after 5 years of playing on PC, that you can delete objects in your household inventory faster by holding the delete key on your keyboard and then click the item you wanna sell. I have always dragged em over to sell. You telling me this was possible this whole time?! 😭"", ""What's something you learned in the game that you wish you knew sooner?:\nFor me, I just learned after 5 years of playing on PC, that you can delete objects in your household inventory faster by holding the delete key on your keyboard and then click the item you wanna sell. I have always dragged em over to sell. You telling me this was possible this whole time?! 😭"", ""What's something you learned in the game that you wish you knew sooner?:\nFor me, I just learned after 5 years of playing on PC, that you can delete objects in your household inventory faster by holding the delete key on your keyboard and then click the item you wanna sell. I have always dragged em over to sell. You telling me this was possible this whole time?! 😭""]"
36,11,36_baby_he_him_his,36_baby_he_him_his,"['baby', 'he', 'him', 'his', 'and', 'the', 'her', 'so', 'up', 'pregnant']","['Gurl i made this family so messy:\nso ok this is the second generation of the most messed up family. so first generation is a father that has fathered the whole town if you know what I mean... but this mom had 5 kids by him 3 girls 2 boys. well the girls grew up and they all moved out together. so the oldest started talking to Eric Loden and they ended up whoohooing and I was like yep bet so they whoohoo for baby but then he started flirting with the middle sister and before I knew it all 3 sisters were pregnant by him. so I was like ok the first one to have the second baby will get to marry him. so the middle sister got there first and han they married moved out and had a 3rd well the whole time shes freaked out about him cheating... for like no reason... at first. then he starts messing with her little sister. she walks in on them whoohooing for their 2nd (and 3rd because opps twins) kid(s) together. middle sister is PISSED and beats up both her husband  and her sister and divorces him. \nwell now the twins are born and Eric is messing with the oldest sister again. \n\nalso yes all the babies are names Eric JR or Erica all with different spellings\n ', 'I actually can’t believe this:\nSo i have 2 female sims who are married and had a baby through surrogacy, well we found the dad in the wild and introduced the baby to him and turns out he wasn’t a fan lol, went through a custody agreement and he wants nothing to do with the baby. fast forward the lottery comes and my sims both buy tickets of course they don’t win but you know who does??? the baby daddy.. so should i steal his money ? im banking on yes (: \n\nEDIT: i should’ve specified that i wouldn’t have cared about the fact that he got all the money but he had a negative reaction and said that the baby wasn’t his, and denied to even acknowledge the baby. that being said i know with real surrogacy most of the donors don’t want to be found out but he knew about the baby ):< even introduced the baby to him and then the baby felt sad. he called my sim a liar too and yell at her. i have life tragedies on as well so this man may do something. just saying lol.  ', ""Am I,,, a horrible person?:\nBasically, my sim is engaged to be married with a lady he met on cupid's corner. They've been together for a WHILE. He's ftm and she's mtf which is IMPORTANT CONTEXT, because he's the one who can get pregnant. Now. Caleb Vatore came knocking on their door one day, and in my brain there always has to be drama in my household, so I made my sim have an affair. The issue is, he. Got pregnant. AND OBVIOUSLY THAT IS AN ISSUE BECAUSE IT IS NOT HIS FIANCÉE'S BABY. Either way, he gave birth and the baby turned out not to be a vampire, and he has brown hair like the fiancée, so I decided to play it like. Whatever, she'll never know. Fast forward to like a week later, Caleb comes over to MEET HIS SON while the fiancée is at work, and I decide to start drama AGAIN AND THEY WOOHOO AGAIN. AND NOW HE'S PREGNANT AGAIN. And I'm worried what will happen if the baby is a vampire and. The only thing I can think of is to kill the fiancée??\n\nI guess the question hidden in this rant is: Am I insane for doing all this, or do all sims players do weird stuff constantly for the sake of interesting gameplay? 😭\n\nUpdate: The baby IS a vampire, and my sim took her to Caleb's house to meet him cause I've decided I don't want him in my sim's house 😭 She gets on great with Lilith, so I considered moving the baby in with them, but then she aged up into a toddler and she's SO much prettier than her older brother. Anyway my sim now has an almost permanent tense moodlet because I allowed him to become loyal after spending time with his fiancée. I've decided he'll tell her about his cheating on Winterfest! Pray for this evil man. ""]"
37,10,37_school_high_graduate_presentation,37_school_high_graduate_presentation,"['school', 'high', 'graduate', 'presentation', 'class', 'final', 'foxes', 'signed', 'guuurl', 'cheerleading']","['High school can really kill you.:\n', 'Talk to the professionals at Career Day, they said. Gaining new perspectives, you will. Guuurl, THAT is not what the school meant! Teenagers, I swear 🙄:\n', 'I didn’t know Wild Foxes could graduate High School:\nAverage Class Rank']"
38,10,38_sleep_sleeping_eyes_no,38_sleep_sleeping_eyes_no,"['sleep', 'sleeping', 'eyes', 'no', 'why', 'how', 'aaaaarrrrrgggghhh', 'naming', 'paralysis', 'demon']","['How come cow plants don’t have eyes when they’re alive but their skeletons have eye sockets? 🤔 :\n', 'I am TRAUMATIZED! EA WTF is this 🤢😰!!!! How will I sleep tonight? It looks like my sleep paralysis demon.:\n', 'WHY DO I HAVE TO TELL THE BUTLER TO SLEEP:\nWhy. WHY. Just freaking act like a human.  It’s 3 am, everything is clean, GO TO BE AUTONOMOUSLY. I kept thinking eventually they’d fix. But no. I still have to tell hi every night. Aaaaarrrrrgggghhh. ']"
39,10,39_debt_pay_prices_bills,39_debt_pay_prices_bills,"['debt', 'pay', 'prices', 'bills', 'simoleans', 'grocery', 'join', 'price', 'wtf', 'check']","['my sims are living pay check to pay check and even thats not enough:\ngenuinely i didnt even realize bills could get this high????', ""i just moved my sims, why are they in debt?!?? :\ni DO NOT have any mods, i play vanilla, i didnt even know it's possible to be in debt in this game"", 'Sims 4 why this man wanna join my household with $2 million in debt? :\nThe audacity! How is this possible 😂 my sim married this guy and keeps asking to join household and I finally said yes but he comes with debt? You can have debt in the sims?? ']"
